Ligand,Binding Affinity,rmsd/ub, rmsd/lb
AF-P00338-F1-model_v4_model1_15377690_uff_E=198.89,-6.4,0.0,0.0
AF-P00338-F1-model_v4_model1_15377690_uff_E=198.89,-6.2,3.113,1.727
AF-P00338-F1-model_v4_model1_15377690_uff_E=198.89,-6.0,5.053,3.018
AF-P00338-F1-model_v4_model1_15377690_uff_E=198.89,-6.0,20.475,18.808
AF-P00338-F1-model_v4_model1_15377690_uff_E=198.89,-5.9,2.569,1.879
AF-P00338-F1-model_v4_model1_15377690_uff_E=198.89,-5.8,28.895,27.402
AF-P00338-F1-model_v4_model1_15377690_uff_E=198.89,-5.8,28.171,26.631
AF-P00338-F1-model_v4_model1_15377690_uff_E=198.89,-5.7,5.154,2.955
AF-P00338-F1-model_v4_model1_15377690_uff_E=198.89,-5.6,7.345,5.056
AF-P00338-F1-model_v4_model1_1549018_uff_E=229.74,-5.2,0.0,0.0
AF-P00338-F1-model_v4_model1_1549018_uff_E=229.74,-5.2,2.64,1.947
AF-P00338-F1-model_v4_model1_1549018_uff_E=229.74,-5.1,14.521,12.309
AF-P00338-F1-model_v4_model1_1549018_uff_E=229.74,-4.8,3.266,2.256
AF-P00338-F1-model_v4_model1_1549018_uff_E=229.74,-4.8,30.479,29.313
AF-P00338-F1-model_v4_model1_1549018_uff_E=229.74,-4.7,4.762,2.082
AF-P00338-F1-model_v4_model1_1549018_uff_E=229.74,-4.7,29.699,28.478
AF-P00338-F1-model_v4_model1_1549018_uff_E=229.74,-4.6,5.078,2.291
AF-P00338-F1-model_v4_model1_1549018_uff_E=229.74,-4.5,28.971,27.605
AF-P00338-F1-model_v4_model1_1549019_uff_E=203.02,-5.0,0.0,0.0
AF-P00338-F1-model_v4_model1_1549019_uff_E=203.02,-4.6,8.36,5.687
AF-P00338-F1-model_v4_model1_1549019_uff_E=203.02,-4.6,25.813,24.513
AF-P00338-F1-model_v4_model1_1549019_uff_E=203.02,-4.5,6.175,3.622
AF-P00338-F1-model_v4_model1_1549019_uff_E=203.02,-4.5,10.644,9.271
AF-P00338-F1-model_v4_model1_1549019_uff_E=203.02,-4.3,6.551,4.166
AF-P00338-F1-model_v4_model1_1549019_uff_E=203.02,-4.3,18.867,16.585
AF-P00338-F1-model_v4_model1_1549019_uff_E=203.02,-4.3,5.341,3.978
AF-P00338-F1-model_v4_model1_1549019_uff_E=203.02,-4.3,6.407,4.225
AF-P00338-F1-model_v4_model1_158311_uff_E=584.92,-7.4,0.0,0.0
AF-P00338-F1-model_v4_model1_158311_uff_E=584.92,-7.2,8.481,1.835
AF-P00338-F1-model_v4_model1_158311_uff_E=584.92,-6.9,21.366,19.001
AF-P00338-F1-model_v4_model1_158311_uff_E=584.92,-6.9,21.496,19.382
AF-P00338-F1-model_v4_model1_158311_uff_E=584.92,-6.8,20.322,18.278
AF-P00338-F1-model_v4_model1_158311_uff_E=584.92,-6.8,5.577,2.807
AF-P00338-F1-model_v4_model1_158311_uff_E=584.92,-6.8,22.068,18.094
AF-P00338-F1-model_v4_model1_158311_uff_E=584.92,-6.7,16.065,12.074
AF-P00338-F1-model_v4_model1_158311_uff_E=584.92,-6.7,20.355,18.379
AF-P00338-F1-model_v4_model1_15929152_uff_E=439.46,-6.9,0.0,0.0
AF-P00338-F1-model_v4_model1_15929152_uff_E=439.46,-6.6,20.946,18.544
AF-P00338-F1-model_v4_model1_15929152_uff_E=439.46,-6.5,2.666,1.406
AF-P00338-F1-model_v4_model1_15929152_uff_E=439.46,-6.4,22.295,18.999
AF-P00338-F1-model_v4_model1_15929152_uff_E=439.46,-6.1,4.433,2.529
AF-P00338-F1-model_v4_model1_15929152_uff_E=439.46,-5.9,21.061,18.616
AF-P00338-F1-model_v4_model1_15929152_uff_E=439.46,-5.9,3.454,1.522
AF-P00338-F1-model_v4_model1_15929152_uff_E=439.46,-5.8,23.035,20.247
AF-P00338-F1-model_v4_model1_15929152_uff_E=439.46,-5.7,22.407,20.908
AF-P00338-F1-model_v4_model1_1711945_uff_E=137.33,-5.8,0.0,0.0
AF-P00338-F1-model_v4_model1_1711945_uff_E=137.33,-5.7,4.708,2.883
AF-P00338-F1-model_v4_model1_1711945_uff_E=137.33,-5.7,2.403,1.767
